team,preseason2023elo
Rams,1449.9087
Bills,1629.759771
Dolphins,1497.009399
Patriots,1510.539926
Bengals,1647.634582
Steelers,1537.130925
Falcons,1462.14432
Saints,1508.606463
Jets,1432.07461
Ravens,1524.73123
Panthers,1479.93095
Browns,1499.291349
Commanders,1491.662749
Jaguars,1512.738609
Lions,1507.596301
Eagles,1600.275889
Bears,1382.149819
49ers,1625.299697
Texans,1376.377882
Colts,1415.729243
Vikings,1520.844775
Packers,1524.074319
Cardinals,1423.047417
Chiefs,1672.680832
Titans,1464.196361
Giants,1481.237705
Chargers,1512.723623
Raiders,1478.044725
Cowboys,1586.821108
Buccaneers,1486.420688
Seahawks,1501.585071
Broncos,1417.672861
